                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.90362,                0.87618,                 1.1716,                0.76203,                0.66277,                0.70824,                0.56296,                  1.244,                 1.2969,                 1.4096,              0.0001915,              0.0001915,              0.0001915
                     51,                  0.891,                0.79996,                 1.1454,                0.71753,                0.67142,                0.69592,                0.55082,                 1.2509,                 1.3182,                  1.422,               0.000175,               0.000175,               0.000175
                     52,                0.85817,                0.74807,                 1.1243,                0.73417,                0.67132,                0.70664,                0.56106,                 1.2269,                 1.2977,                 1.4036,              0.0001585,              0.0001585,              0.0001585
                     53,                0.84795,                0.71333,                 1.1135,                0.73789,                0.67319,                0.70633,                0.56045,                 1.2536,                 1.2747,                 1.4247,               0.000142,               0.000142,               0.000142
                     54,                0.83351,                0.69503,                  1.101,                0.72227,                0.70465,                0.70781,                0.55865,                 1.2646,                 1.2989,                 1.4362,              0.0001255,              0.0001255,              0.0001255
                     55,                0.82749,                0.67847,                 1.0973,                0.72474,                0.68907,                0.70848,                0.56179,                  1.249,                  1.275,                 1.4251,               0.000109,               0.000109,               0.000109
                     56,                0.81918,                0.66371,                 1.0939,                0.76849,                0.67046,                0.71483,                0.56806,                 1.2454,                 1.2673,                 1.4211,               9.25e-05,               9.25e-05,               9.25e-05
                     57,                0.81471,                0.65071,                 1.0888,                0.70799,                0.70801,                0.71295,                0.56511,                 1.2544,                 1.2611,                 1.4276,                7.6e-05,                7.6e-05,                7.6e-05
                     58,                 0.8023,                 0.6463,                 1.0812,                0.74187,                0.68992,                0.71184,                0.56445,                 1.2637,                 1.2842,                 1.4346,               5.95e-05,               5.95e-05,               5.95e-05
                     59,                0.79379,                0.63247,                 1.0754,                0.74183,                0.68129,                0.71401,                0.56661,                 1.2499,                 1.2686,                 1.4323,                4.3e-05,                4.3e-05,                4.3e-05
                     60,                0.79579,                0.61681,                  1.077,                 0.7297,                0.69292,                0.71644,                0.56865,                 1.2545,                 1.2665,                 1.4378,               2.65e-05,               2.65e-05,               2.65e-05
